# SPEC §7.5 shard assignment — the WITNESS for the partition rule.
#
#   shard(h, p, n) = first_64_bits(SHA-256(h ++ "#" ++ decimal(p))) mod n
#
# `h` is the 64-char LOWERCASE HEX spelling, not the 32 bytes it denotes;
# the separator is one '#'; decimal(p) is base ten, no padding, no sign;
# first_64_bits is the digest's leading 8 bytes big-endian.
#
# n=1 is the unsharded verifier and is 0 throughout — the only column whose
# correct value is known without computing a digest, and so the one that
# catches a file regenerated from a broken rule.
#
# name	hash	prop	n=1	n=2	n=3	n=7	n=8	n=32	n=100
gh-webhook	552ec5bd9d1893e035bfec422a94a2a57b1c027a2822bfa30a433feff3ed3711	9	0	1	0	1	1	9	77
gh-webhook	552ec5bd9d1893e035bfec422a94a2a57b1c027a2822bfa30a433feff3ed3711	10	0	0	0	5	4	4	32
gh-webhook	552ec5bd9d1893e035bfec422a94a2a57b1c027a2822bfa30a433feff3ed3711	11	0	0	1	3	6	6	70
gh-webhook	552ec5bd9d1893e035bfec422a94a2a57b1c027a2822bfa30a433feff3ed3711	12	0	0	1	2	4	20	44
gh-webhook	552ec5bd9d1893e035bfec422a94a2a57b1c027a2822bfa30a433feff3ed3711	13	0	0	1	0	2	2	62
greet	1b4fc08a4e93ad03945596accdaffa83d0b121c1defb2bc40f6ad717dd7b3436	0	0	0	1	0	2	10	6
greet	1b4fc08a4e93ad03945596accdaffa83d0b121c1defb2bc40f6ad717dd7b3436	1	0	1	1	3	5	21	13
greet	1b4fc08a4e93ad03945596accdaffa83d0b121c1defb2bc40f6ad717dd7b3436	2	0	0	0	0	2	2	2
greet-or-guest	1da62c4f6353644b8ea21b149768796a5fcf972c7fb80f5c9487426187e1ce8e	0	0	0	1	4	4	28	60
greet-or-guest	1da62c4f6353644b8ea21b149768796a5fcf972c7fb80f5c9487426187e1ce8e	1	0	0	1	4	0	0	44
hdr-probe	f19d388b9584518722ad68b1d6db6aeb38d6c7d81e4a59e7d3a9687bb586259d	0	0	0	0	1	6	14	38
header-first	f0a62a28b4b450de3b55eb9efba1b9bd864ed5355e3d4f8db0ffe249e8cffb13	0	0	0	1	2	4	28	4
header-first	f0a62a28b4b450de3b55eb9efba1b9bd864ed5355e3d4f8db0ffe249e8cffb13	1	0	0	2	3	6	30	26
header-first	f0a62a28b4b450de3b55eb9efba1b9bd864ed5355e3d4f8db0ffe249e8cffb13	2	0	1	1	3	7	15	15
header-or	d585aa88cdfbd223092e4f4b401169667abf05305787c6f7ed4a67bf36c25331	0	0	1	1	6	3	27	67
header-or	d585aa88cdfbd223092e4f4b401169667abf05305787c6f7ed4a67bf36c25331	1	0	0	1	2	6	30	30
hex-decode	e98335ea6c143aa21df80b61165c9b3ddf19207a1b0d0f9a8f5d813f2977c6f9	0	0	0	0	2	6	22	2
hex-decode	e98335ea6c143aa21df80b61165c9b3ddf19207a1b0d0f9a8f5d813f2977c6f9	1	0	1	0	0	5	21	65
hex-decode	e98335ea6c143aa21df80b61165c9b3ddf19207a1b0d0f9a8f5d813f2977c6f9	2	0	0	0	0	2	26	26
hex-decode	e98335ea6c143aa21df80b61165c9b3ddf19207a1b0d0f9a8f5d813f2977c6f9	3	0	1	1	2	5	21	49
hex-decode	e98335ea6c143aa21df80b61165c9b3ddf19207a1b0d0f9a8f5d813f2977c6f9	4	0	1	2	6	5	13	97
hex-decode	e98335ea6c143aa21df80b61165c9b3ddf19207a1b0d0f9a8f5d813f2977c6f9	5	0	1	2	6	5	13	65
hex-decode	e98335ea6c143aa21df80b61165c9b3ddf19207a1b0d0f9a8f5d813f2977c6f9	6	0	0	1	4	4	20	80
hex-decode-unchecked	c46f1fb5eecb97c65c06ff95814222cd008a01ef87a6620e7c3b26d6dad56084	0	0	0	1	1	6	14	82
hex-decode-unchecked	c46f1fb5eecb97c65c06ff95814222cd008a01ef87a6620e7c3b26d6dad56084	1	0	0	2	0	0	16	16
hex-decode-unchecked	c46f1fb5eecb97c65c06ff95814222cd008a01ef87a6620e7c3b26d6dad56084	2	0	0	1	1	2	10	30
hex-decode-unchecked	c46f1fb5eecb97c65c06ff95814222cd008a01ef87a6620e7c3b26d6dad56084	3	0	1	2	0	7	15	31
hex-decode-unchecked	c46f1fb5eecb97c65c06ff95814222cd008a01ef87a6620e7c3b26d6dad56084	4	0	1	1	2	1	9	5
hex-digit	007871398c18f644e5e67228e3e06ea553d93716878dbb625c72034755a1586f	0	0	0	0	0	2	18	38
hex-digit	007871398c18f644e5e67228e3e06ea553d93716878dbb625c72034755a1586f	1	0	1	2	5	5	29	13
hex-digit	007871398c18f644e5e67228e3e06ea553d93716878dbb625c72034755a1586f	2	0	1	0	1	3	27	79
hex-encode	85e837e0fa9b3a827f2c031a2d19dc71d3f12e66fa36fc715b52d5c4b279a8e9	0	0	1	2	1	5	29	57
hex-encode	85e837e0fa9b3a827f2c031a2d19dc71d3f12e66fa36fc715b52d5c4b279a8e9	1	0	1	1	5	1	1	69
hex-encode	85e837e0fa9b3a827f2c031a2d19dc71d3f12e66fa36fc715b52d5c4b279a8e9	2	0	0	1	0	0	8	52
hex-nibble	548c2b120a8bc1874caeeb0679a02d14d42b7e428ee6c78e05c2211583699ae1	0	0	1	2	0	7	23	35
hex-nibble	548c2b120a8bc1874caeeb0679a02d14d42b7e428ee6c78e05c2211583699ae1	1	0	1	1	6	3	19	79
hex-valid	954c1887f94a3097f07098df42db08f0344e92e82ba7691303c7d79137909e09	0	0	1	0	0	1	1	21
hex-valid	954c1887f94a3097f07098df42db08f0344e92e82ba7691303c7d79137909e09	1	0	1	1	4	1	9	65
hex-valid	954c1887f94a3097f07098df42db08f0344e92e82ba7691303c7d79137909e09	2	0	1	1	1	5	13	13
hex-valid	954c1887f94a3097f07098df42db08f0344e92e82ba7691303c7d79137909e09	3	0	0	2	4	0	0	36
hex-valid	954c1887f94a3097f07098df42db08f0344e92e82ba7691303c7d79137909e09	4	0	0	1	4	6	6	42
hex-valid	954c1887f94a3097f07098df42db08f0344e92e82ba7691303c7d79137909e09	5	0	0	0	6	2	2	78
hex-valid	954c1887f94a3097f07098df42db08f0344e92e82ba7691303c7d79137909e09	6	0	0	0	2	0	24	4
hmac-kat-rfc4231-2	d497b8473178141fe85ad3b182863c7248b2e7952678c11579841f1676d9e64f	0	0	0	1	3	0	16	52
hmac-kat-rfc4231-2	d497b8473178141fe85ad3b182863c7248b2e7952678c11579841f1676d9e64f	1	0	1	2	0	5	29	73
hmac-kat-rfc4231-2	d497b8473178141fe85ad3b182863c7248b2e7952678c11579841f1676d9e64f	2	0	0	1	1	6	22	78
i-contains	3fc1c9e4988411e515b346e48eb3612dfc2f4b4dc54077c5f8778e73f6743909	0	0	0	2	0	2	2	94
i-contains	3fc1c9e4988411e515b346e48eb3612dfc2f4b4dc54077c5f8778e73f6743909	1	0	1	0	5	3	3	11
i-contains	3fc1c9e4988411e515b346e48eb3612dfc2f4b4dc54077c5f8778e73f6743909	2	0	1	1	0	5	13	17
i-contains	3fc1c9e4988411e515b346e48eb3612dfc2f4b4dc54077c5f8778e73f6743909	3	0	1	2	6	3	11	75
i-hull	7ad9cbd2d649b50039035317ef44da70d6e478c708faa601bf248c751a8d314d	0	0	0	0	4	4	20	96
i-hull	7ad9cbd2d649b50039035317ef44da70d6e478c708faa601bf248c751a8d314d	1	0	0	2	1	4	28	4
i-hull	7ad9cbd2d649b50039035317ef44da70d6e478c708faa601bf248c751a8d314d	2	0	0	1	1	2	26	18
i-hull	7ad9cbd2d649b50039035317ef44da70d6e478c708faa601bf248c751a8d314d	3	0	1	1	1	3	3	63
i-hull	7ad9cbd2d649b50039035317ef44da70d6e478c708faa601bf248c751a8d314d	4	0	1	1	5	7	31	51
i-intersect	416798295f350bddd83cc55d47c9534b3bd3786361e2adfa87d595a059bcff30	0	0	1	1	6	7	7	3
i-intersect	416798295f350bddd83cc55d47c9534b3bd3786361e2adfa87d595a059bcff30	1	0	0	0	5	0	0	16
i-intersect	416798295f350bddd83cc55d47c9534b3bd3786361e2adfa87d595a059bcff30	2	0	0	1	3	2	10	66
i-intersect	416798295f350bddd83cc55d47c9534b3bd3786361e2adfa87d595a059bcff30	3	0	1	1	2	1	9	29
i-overlaps	ba067f27d4256030f445fb03ecef490d79c4fbf2036cd956267a6e80c2db4a1f	0	0	0	0	0	4	20	12
i-overlaps	ba067f27d4256030f445fb03ecef490d79c4fbf2036cd956267a6e80c2db4a1f	1	0	0	2	4	0	24	64
i-overlaps	ba067f27d4256030f445fb03ecef490d79c4fbf2036cd956267a6e80c2db4a1f	2	0	0	1	2	6	14	14
i-overlaps	ba067f27d4256030f445fb03ecef490d79c4fbf2036cd956267a6e80c2db4a1f	3	0	0	1	4	4	28	72
i-overlaps	ba067f27d4256030f445fb03ecef490d79c4fbf2036cd956267a6e80c2db4a1f	4	0	1	1	5	3	11	91
index-of	d679d2e21f62e21e5a276478d81c57f37047fb1dbb38f6fa28629d31d340a042	0	0	0	1	1	0	24	96
index-of	d679d2e21f62e21e5a276478d81c57f37047fb1dbb38f6fa28629d31d340a042	1	0	0	1	4	2	10	74
index-of	d679d2e21f62e21e5a276478d81c57f37047fb1dbb38f6fa28629d31d340a042	2	0	0	1	3	6	22	62
init	6ed53caa0ad21b7d739eaac8817b2fd1e0f983da3dc188d07f89ef1640d988bb	0	0	1	2	1	3	3	23
init	6ed53caa0ad21b7d739eaac8817b2fd1e0f983da3dc188d07f89ef1640d988bb	1	0	1	0	3	1	1	17
init	6ed53caa0ad21b7d739eaac8817b2fd1e0f983da3dc188d07f89ef1640d988bb	2	0	0	1	0	4	12	32
initials-or	ae876364d0f2d737a0dcb44043c13de8cbee06a294b66ca023626fd9c89a7550	0	0	1	0	1	7	31	71
initials-or	ae876364d0f2d737a0dcb44043c13de8cbee06a294b66ca023626fd9c89a7550	1	0	0	2	6	2	10	30
insert	07e9fddfeed3fe7d21e92fbdf80a16959a45faf540fc305fec89bc86bcab7e1b	0	0	0	2	5	0	0	52
insert	07e9fddfeed3fe7d21e92fbdf80a16959a45faf540fc305fec89bc86bcab7e1b	1	0	0	0	0	6	30	90
insert	07e9fddfeed3fe7d21e92fbdf80a16959a45faf540fc305fec89bc86bcab7e1b	2	0	1	1	6	3	27	23
insert	07e9fddfeed3fe7d21e92fbdf80a16959a45faf540fc305fec89bc86bcab7e1b	3	0	1	1	2	7	7	95
insert	07e9fddfeed3fe7d21e92fbdf80a16959a45faf540fc305fec89bc86bcab7e1b	4	0	0	2	6	2	10	78
insert	07e9fddfeed3fe7d21e92fbdf80a16959a45faf540fc305fec89bc86bcab7e1b	5	0	1	1	5	5	13	45
insert-by	87dec595a754bfa39d395a5ca4aee022b7cb5f68b23c54a1824c9fd798146484	0	0	1	2	6	1	1	33
insert-by	87dec595a754bfa39d395a5ca4aee022b7cb5f68b23c54a1824c9fd798146484	1	0	1	0	0	5	13	33
insert-by	87dec595a754bfa39d395a5ca4aee022b7cb5f68b23c54a1824c9fd798146484	2	0	1	2	5	1	17	21
int-embed	37c83ea0981d6eb7bb01a5fd814a86a777d57b4773fcf13db4b95cdee470ad83	0	0	1	2	1	3	19	67
is-none	2ba7f9f256616ab855b5ebde66b5544feb26922287b3ac209e42516fd74cb9eb	0	0	1	0	1	5	5	1
is-none	2ba7f9f256616ab855b5ebde66b5544feb26922287b3ac209e42516fd74cb9eb	1	0	1	2	5	1	17	49
is-some	f3ac0cfaff55b6fa7d87a06b3555754280643773447445d7c7385d71b7d3e517	0	0	0	2	3	4	12	72
is-some	f3ac0cfaff55b6fa7d87a06b3555754280643773447445d7c7385d71b7d3e517	1	0	0	0	3	2	26	22
is-sorted	064d42c2395412835438f4a40910e4b26dd165cf85fc14d9ff7ada25431ba5d5	0	0	0	2	1	0	24	36
is-sorted	064d42c2395412835438f4a40910e4b26dd165cf85fc14d9ff7ada25431ba5d5	1	0	1	0	2	5	5	13
is-sorted	064d42c2395412835438f4a40910e4b26dd165cf85fc14d9ff7ada25431ba5d5	2	0	1	2	5	7	7	71
is-sorted	064d42c2395412835438f4a40910e4b26dd165cf85fc14d9ff7ada25431ba5d5	3	0	1	2	3	5	13	61
is-sorted	064d42c2395412835438f4a40910e4b26dd165cf85fc14d9ff7ada25431ba5d5	4	0	1	1	5	1	1	73
join-with	dbfc0545b1483369a8cd0e2e3731fa96da3c367b96a66305763e0ea57ad7a2bb	0	0	1	1	6	5	13	17
join-with	dbfc0545b1483369a8cd0e2e3731fa96da3c367b96a66305763e0ea57ad7a2bb	1	0	1	1	1	7	23	31
join-with	dbfc0545b1483369a8cd0e2e3731fa96da3c367b96a66305763e0ea57ad7a2bb	2	0	0	0	4	4	20	84
json-scoped-string	457b1fa82b61c8294edac51083a4103d0f2faf15c3c4dd89cc7306c3d6e79ad4	0	0	1	0	6	7	31	55
json-scoped-string	457b1fa82b61c8294edac51083a4103d0f2faf15c3c4dd89cc7306c3d6e79ad4	1	0	0	2	0	2	2	50
json-scoped-string	457b1fa82b61c8294edac51083a4103d0f2faf15c3c4dd89cc7306c3d6e79ad4	2	0	0	0	5	0	8	72
json-string-value	e84c7faa721c257c7426bbec454cfd2f5fb1869002fb0755b0eebed59cb095ae	0	0	0	1	6	0	0	24
json-string-value	e84c7faa721c257c7426bbec454cfd2f5fb1869002fb0755b0eebed59cb095ae	1	0	0	2	4	4	12	96
json-string-value	e84c7faa721c257c7426bbec454cfd2f5fb1869002fb0755b0eebed59cb095ae	2	0	1	0	5	3	3	99
kv-get	3b157b005950ff71037e3610d6acb501a676d245f5cb1ffb5a30331bf2037bad	0	0	1	2	3	1	25	21
kv-get	3b157b005950ff71037e3610d6acb501a676d245f5cb1ffb5a30331bf2037bad	1	0	0	1	5	2	18	38
kv-put	8e45f81f8bf1bf5407717b3db81de400d4686ba70da1b5219eaf67a874951446	0	0	1	0	4	7	15	47
kv-put	8e45f81f8bf1bf5407717b3db81de400d4686ba70da1b5219eaf67a874951446	1	0	0	0	1	0	8	60
kv-put	8e45f81f8bf1bf5407717b3db81de400d4686ba70da1b5219eaf67a874951446	2	0	1	0	5	7	23	55
last	fb2a994de5224165a35ae418724c2f7bd971957959ee31a17f2f76c186311cd6	0	0	1	0	6	7	7	99
last	fb2a994de5224165a35ae418724c2f7bd971957959ee31a17f2f76c186311cd6	1	0	1	2	4	7	7	51
last	fb2a994de5224165a35ae418724c2f7bd971957959ee31a17f2f76c186311cd6	2	0	0	2	0	0	0	44
length	a8497c2fac2bb02484146299be78cecd5d6e296f4bc87f8d2e5eca76745a092e	0	0	0	2	5	0	8	80
length	a8497c2fac2bb02484146299be78cecd5d6e296f4bc87f8d2e5eca76745a092e	1	0	1	1	1	3	3	67
length	a8497c2fac2bb02484146299be78cecd5d6e296f4bc87f8d2e5eca76745a092e	2	0	0	0	3	4	20	48
lengths	bbd85a6e3d20148809ad5e5666c053a1c2e4a5cb643fe0e0f6970fa84fea6d31	0	0	1	0	1	3	11	47
list-eq-by	af979cf69be024ccf19f5001925dfd895ae59006a5133d388aa28d6f23ed01bd	0	0	0	2	1	4	28	28
list-eq-by	af979cf69be024ccf19f5001925dfd895ae59006a5133d388aa28d6f23ed01bd	1	0	1	1	5	7	31	51
list-eq-by	af979cf69be024ccf19f5001925dfd895ae59006a5133d388aa28d6f23ed01bd	2	0	0	2	0	4	20	28
list-eq-by	af979cf69be024ccf19f5001925dfd895ae59006a5133d388aa28d6f23ed01bd	3	0	0	2	2	4	4	24
main-echo	9b19e91f08203d730fbc5fd8230c088e2e4b6870eae5799b048bab09f4879742	0	0	1	2	1	7	7	35
main-echo	9b19e91f08203d730fbc5fd8230c088e2e4b6870eae5799b048bab09f4879742	1	0	1	1	5	1	1	93
main-fetch	8b9c09a60d03388c9b21371e51d935f3e58d9e5c710a520070450d1cfae7ee7c	0	0	1	2	2	5	29	25
main-fetch	8b9c09a60d03388c9b21371e51d935f3e58d9e5c710a520070450d1cfae7ee7c	1	0	1	2	3	7	7	51
main-fetch	8b9c09a60d03388c9b21371e51d935f3e58d9e5c710a520070450d1cfae7ee7c	2	0	0	2	3	6	6	2
map	d82c082fdb53d245915215031f94d0c3c9b3c56c2db09a7911d9bd4abb22dddf	0	0	1	1	6	1	25	33
map-empty	09cf1ccec66bab85fe124518fbcea28358eada982c325161fed70f29f17bbed2	0	0	1	2	5	1	9	57
map-err	895fa0dbd9fbb14aa5af561a96771d500543f5f8ec88e47a5a00d12224d3ffe3	0	0	0	0	3	4	12	32
map-err	895fa0dbd9fbb14aa5af561a96771d500543f5f8ec88e47a5a00d12224d3ffe3	1	0	0	2	6	4	4	48
map-has	958230af579ca2992e43a438310cd58c483a46844e2dc41df85cad2b03b35644	0	0	1	0	4	7	31	95
map-insert	d572389add28126f29aedb444c1dc473e1c05f226d6ef280e042d22ca0e94fe5	0	0	0	2	3	6	14	66
map-keys	89b0724159ec1315b9bdd44160642192f24f7ddaaf7afe2005631b9d6e755601	0	0	0	2	0	4	28	4
map-lookup	937d56cee9ade4340887340f34b73fc27b3c8b933fa3d8749e5fd4766adbc0de	0	0	1	0	4	7	23	71
map-merge	a4bcf8b7fee8ab0f1e1401689f29fcd276cbbfa70208bd1a495586aeb1f1c784	0	0	0	0	0	4	4	60
map-merge	a4bcf8b7fee8ab0f1e1401689f29fcd276cbbfa70208bd1a495586aeb1f1c784	1	0	1	2	3	3	11	59
map-option	c68fdd467a0a39dc9623a3a4426fcca2ae5a5c0732d131a501196fb6e5a39d4d	0	0	0	2	2	0	8	24
map-option	c68fdd467a0a39dc9623a3a4426fcca2ae5a5c0732d131a501196fb6e5a39d4d	1	0	1	2	5	7	15	51
map-result	e2805294c80994435e36372d509d8eeab5191860de88887aec46a2cc6f8cd465	0	0	1	2	3	1	9	13
map-result	e2805294c80994435e36372d509d8eeab5191860de88887aec46a2cc6f8cd465	1	0	0	0	4	0	24	44
map-size	1d96b6899013c33428ff30c5e6e825db9fd7af4949e48570a1f55d1f3fd5d4cc	0	0	0	0	5	0	0	80
map-values	ac0ad30f71d3b3ec9f9b38579b54e8427fc31f95d4beedd373a4e554c807528c	0	0	1	2	3	5	5	81
max-by	4c8f05ccdd56be98ce3414dccb6470de6d6fa0e573937ef87bfc9efa889caa2f	0	0	1	2	2	7	7	95
max-by	4c8f05ccdd56be98ce3414dccb6470de6d6fa0e573937ef87bfc9efa889caa2f	1	0	1	1	3	7	15	75
max2	04416a62699b6875092c3ad0c232c69ece40a95bcc59d284e4d5639879a16b59	0	0	1	1	0	5	5	21
max2	04416a62699b6875092c3ad0c232c69ece40a95bcc59d284e4d5639879a16b59	1	0	0	1	2	0	24	40
max2	04416a62699b6875092c3ad0c232c69ece40a95bcc59d284e4d5639879a16b59	2	0	1	1	5	7	7	15
max2	04416a62699b6875092c3ad0c232c69ece40a95bcc59d284e4d5639879a16b59	3	0	0	0	3	0	16	64
maximum	6cce19284ea04f372310301feab95ac6c4bc771ec521413b93d40091ad5a026c	0	0	1	2	6	7	15	35
maximum	6cce19284ea04f372310301feab95ac6c4bc771ec521413b93d40091ad5a026c	1	0	0	2	4	6	14	58
maximum	6cce19284ea04f372310301feab95ac6c4bc771ec521413b93d40091ad5a026c	2	0	1	1	4	7	15	79
media-type-is	7fd44d4b3b950c8d03b872e2b09bc357c5f48bd563ab425291bf8ffa259aba84	0	0	0	1	1	2	10	6
media-type-is	7fd44d4b3b950c8d03b872e2b09bc357c5f48bd563ab425291bf8ffa259aba84	1	0	0	2	0	2	18	50
media-type-is	7fd44d4b3b950c8d03b872e2b09bc357c5f48bd563ab425291bf8ffa259aba84	2	0	0	0	3	4	4	88
merge	be2f6d41596a747870fa0f1ff03ad164941e4bf1a42bcefa6861aea298e052dc	0	0	1	2	3	5	13	73
merge	be2f6d41596a747870fa0f1ff03ad164941e4bf1a42bcefa6861aea298e052dc	1	0	1	2	1	1	17	97
merge	be2f6d41596a747870fa0f1ff03ad164941e4bf1a42bcefa6861aea298e052dc	2	0	0	0	0	4	20	84
mi-insert	14fec16a5691ac2f65cb527016d20702649aad719106143cc262fdad3f62ed6e	0	0	1	1	2	5	29	81
mi-keys	57cdd57a0160584a0365de36908b6100c1197dc6a21447085bde012ff1e2c711	0	0	0	2	1	0	24	72
mi-lookup	a626e5d5b52741ca0b4d9cdc6c2af17d7f06b7b88cc741d34343c32b73c086b3	0	0	0	0	1	0	0	28
mi-merge	f669a4ca27c825a4289ff11d81779500ae0e12f137e45d33003ec31a97d812a8	0	0	0	2	5	0	24	48
mi-values	41bedb35fab25af79188234c7a8e663a9c82adc41ac0e65f1774188dd690723c	0	0	1	0	3	3	19	27
min-by	739f8efe0b4e0f61c4a0959933766a34ddd133dfd2040b889f3408fd3fb03012	0	0	1	0	5	3	27	83
min-by	739f8efe0b4e0f61c4a0959933766a34ddd133dfd2040b889f3408fd3fb03012	1	0	0	2	5	0	0	64
minimum	9ab35d2eaad189a0cb301a30616edd6040f2adcd608c658d4a53afea6b9a3e99	0	0	1	2	6	5	5	29
minimum	9ab35d2eaad189a0cb301a30616edd6040f2adcd608c658d4a53afea6b9a3e99	1	0	1	1	4	7	23	51
minimum	9ab35d2eaad189a0cb301a30616edd6040f2adcd608c658d4a53afea6b9a3e99	2	0	0	2	3	0	8	32
mul-s	77c518be2f87c1cb33bac6adc037120b7e590eb7f7253ec7d85f72ddcc7dcbcb	0	0	1	1	1	1	1	25
no-field-can-inject	6da67355b5ae7f9960e41a1d85b1476485f1f1fc83af722f7a80e395734bccf0	0	0	1	2	4	1	17	41
no-field-can-inject	6da67355b5ae7f9960e41a1d85b1476485f1f1fc83af722f7a80e395734bccf0	1	0	1	1	4	3	27	15
no-field-can-inject	6da67355b5ae7f9960e41a1d85b1476485f1f1fc83af722f7a80e395734bccf0	2	0	1	1	2	5	5	81
no-field-can-inject	6da67355b5ae7f9960e41a1d85b1476485f1f1fc83af722f7a80e395734bccf0	3	0	0	1	0	0	8	16
one-two-three	256d63e2e1c1a435d3715ef59b5181554b54e62ec37cb31717f07c8d1957c5ff	0	0	0	1	3	0	0	76
one-two-three	256d63e2e1c1a435d3715ef59b5181554b54e62ec37cb31717f07c8d1957c5ff	1	0	1	2	1	5	13	33
opt	4aa5368897539e97dcffb6df46c9ab36fb45a07192314b466ee193f8c1c85b78	0	0	1	1	4	3	19	51
or-else	134cff6b69d5f3bb2599af1f8eb82206c37cefcb5b4ba29b6447b5b9dd0b3fbe	0	0	1	2	1	3	3	71
or-else	134cff6b69d5f3bb2599af1f8eb82206c37cefcb5b4ba29b6447b5b9dd0b3fbe	1	0	0	1	5	0	24	80
parse-nat	a977ae2123091b58c45a12de1900c052dfe38d3ce60ac39aa438975f9ac06c5d	0	0	1	2	0	3	27	31
parse-nat	a977ae2123091b58c45a12de1900c052dfe38d3ce60ac39aa438975f9ac06c5d	1	0	1	0	4	5	13	97
parse-nat-go	5492d77957cdc464628301003b095974422ce222a033c2cfd4c0836c09a64ef9	0	0	1	1	6	5	5	61
path-is	e5446da128922bb9aa4c5b06303e74ad8469934d1062f13675402d4db5fa4fe2	0	0	0	0	5	2	18	74
path-is	e5446da128922bb9aa4c5b06303e74ad8469934d1062f13675402d4db5fa4fe2	1	0	1	0	4	5	21	53
path-is	e5446da128922bb9aa4c5b06303e74ad8469934d1062f13675402d4db5fa4fe2	2	0	1	2	5	7	31	83
pow	090cc5373e20d9b4f5f459b69ac63263b5d2f4d7d5c798591f8add8ac579076e	0	0	1	1	5	3	3	59
pow	090cc5373e20d9b4f5f459b69ac63263b5d2f4d7d5c798591f8add8ac579076e	1	0	1	0	3	3	19	3
pow	090cc5373e20d9b4f5f459b69ac63263b5d2f4d7d5c798591f8add8ac579076e	2	0	1	2	3	5	21	97
pow	090cc5373e20d9b4f5f459b69ac63263b5d2f4d7d5c798591f8add8ac579076e	3	0	1	1	6	5	5	29
product	c074a26278a9bbf3e6b70214a21fc19be92efdb464d4fc3f84c19b85705ce897	0	0	0	0	3	2	18	14
product	c074a26278a9bbf3e6b70214a21fc19be92efdb464d4fc3f84c19b85705ce897	1	0	1	2	4	3	27	23
product	c074a26278a9bbf3e6b70214a21fc19be92efdb464d4fc3f84c19b85705ce897	2	0	1	2	1	5	13	73
q-drop	091c2b59dc4f63a5ee4b928bb50b95dec5d89f1c17092b16d764d92a3bc06074	0	0	1	2	2	7	31	83
q-drop	091c2b59dc4f63a5ee4b928bb50b95dec5d89f1c17092b16d764d92a3bc06074	1	0	1	2	0	3	27	75
q-drop	091c2b59dc4f63a5ee4b928bb50b95dec5d89f1c17092b16d764d92a3bc06074	2	0	0	1	5	2	18	6
q-drop	091c2b59dc4f63a5ee4b928bb50b95dec5d89f1c17092b16d764d92a3bc06074	3	0	0	2	2	4	28	68
q-drop	091c2b59dc4f63a5ee4b928bb50b95dec5d89f1c17092b16d764d92a3bc06074	4	0	1	2	0	5	21	21
q-peek	642d54aa1f8ddfac3dfd63a07b0e1407c78d9cdde76bdeaa463f22c411295a06	0	0	1	0	5	7	15	95
q-peek	642d54aa1f8ddfac3dfd63a07b0e1407c78d9cdde76bdeaa463f22c411295a06	1	0	0	2	2	0	0	56
q-peek	642d54aa1f8ddfac3dfd63a07b0e1407c78d9cdde76bdeaa463f22c411295a06	2	0	1	2	5	3	11	67
q-peek	642d54aa1f8ddfac3dfd63a07b0e1407c78d9cdde76bdeaa463f22c411295a06	3	0	0	1	3	6	14	30
q-peek	642d54aa1f8ddfac3dfd63a07b0e1407c78d9cdde76bdeaa463f22c411295a06	4	0	1	2	4	5	5	61
q-push	743484c1807d7893bb22f35f255c7830b5b707e6d9ac633f48e1854f0af92293	0	0	1	0	2	3	27	79
q-push	743484c1807d7893bb22f35f255c7830b5b707e6d9ac633f48e1854f0af92293	1	0	1	1	4	5	13	69
q-push	743484c1807d7893bb22f35f255c7830b5b707e6d9ac633f48e1854f0af92293	2	0	0	1	2	2	18	26
q-push	743484c1807d7893bb22f35f255c7830b5b707e6d9ac633f48e1854f0af92293	3	0	1	0	4	3	11	3
q-push	743484c1807d7893bb22f35f255c7830b5b707e6d9ac633f48e1854f0af92293	4	0	1	1	0	1	9	65
q-to-list	ee89059c3cce2c994b4ac25e0af8cdd9f2619d7b0ebacca5b42b1bd0abfcdb06	0	0	0	0	0	0	24	20
q-to-list	ee89059c3cce2c994b4ac25e0af8cdd9f2619d7b0ebacca5b42b1bd0abfcdb06	1	0	0	0	1	0	16	8
q-to-list	ee89059c3cce2c994b4ac25e0af8cdd9f2619d7b0ebacca5b42b1bd0abfcdb06	2	0	1	2	0	3	3	63
q-to-list	ee89059c3cce2c994b4ac25e0af8cdd9f2619d7b0ebacca5b42b1bd0abfcdb06	3	0	1	2	5	1	17	57
q-to-list	ee89059c3cce2c994b4ac25e0af8cdd9f2619d7b0ebacca5b42b1bd0abfcdb06	4	0	1	2	0	1	9	85
range	d49edfaf7c34cb69b45f03d9604f602805624d2a4cbf58032f3e52daff186ca0	0	0	1	2	1	3	19	43
range	d49edfaf7c34cb69b45f03d9604f602805624d2a4cbf58032f3e52daff186ca0	1	0	1	0	1	3	3	63
range	d49edfaf7c34cb69b45f03d9604f602805624d2a4cbf58032f3e52daff186ca0	2	0	0	0	4	2	2	22
rat-add	e04d7c974bd936affe6c045507dd4923d4bcbafd951314f01a4483cc74798061	0	0	0	1	4	2	10	6
rat-add	e04d7c974bd936affe6c045507dd4923d4bcbafd951314f01a4483cc74798061	1	0	1	1	2	5	21	65
rat-floor	d60f775729e4dc1b8a948e7bc7dee1394ea978fa2e5788f2d1db87b2d74df75d	0	0	1	0	3	5	5	9
rat-mul	d09a0eb33a7bb8a49e87b6473b72159b0aa4042b9fd1468a178b48023a7cabd0	0	0	1	2	3	3	11	67
rat-mul	d09a0eb33a7bb8a49e87b6473b72159b0aa4042b9fd1468a178b48023a7cabd0	1	0	1	0	5	3	11	55
